Wall time,Step,Value
1670889969.5736918,0,0.2557695209980011
1670890178.0157976,1,0.34618207812309265
1670890385.8670816,2,0.25219541788101196
1670890592.6544302,3,0.34241393208503723
1670890798.8263202,4,0.441018283367157
1670891006.0711422,5,0.5324779748916626
1670891212.9582953,6,0.5313097238540649
1670891419.8287795,7,0.5081408023834229
1670891626.5198097,8,0.5614217519760132
1670891834.7552714,9,0.5685153007507324
1670892042.9451206,10,0.6116854548454285
1670892251.7751784,11,0.593925416469574
1670892460.3316019,12,0.6589792966842651
1670892668.7346926,13,0.6534082889556885
1670892876.8846653,14,0.6704512238502502
1670893085.9869397,15,0.6770018935203552
1670893294.619296,16,0.6874070167541504
1670893503.2088082,17,0.701103925704956
1670893712.0701532,18,0.6992689967155457
1670893921.3564034,19,0.7093363404273987
1670894130.4882703,20,0.7156208753585815
1670894339.8599093,21,0.7246576547622681
1670894548.9990635,22,0.7218301296234131
1670894758.4805584,23,0.734354555606842
1670894967.6367579,24,0.735959529876709
1670895177.6602674,25,0.7396647334098816
1670895386.6174917,26,0.7434504628181458
1670895595.9149685,27,0.7415628433227539
1670895804.6180623,28,0.7426658868789673
1670896015.194498,29,0.7419038414955139
1670896225.0758924,30,0.743280291557312
1670896434.3914127,31,0.7423917055130005
